Designator,Footprint,Mid X,Mid Y,Layer,Rotation
C1,C_0402,166.5000mm,-90.7250mm,T,180.0000
C2,C_0603,188.3500mm,-94.1000mm,T,0.0000
C3,C_0402,188.3500mm,-92.7500mm,T,0.0000
C4,C_0402,182.1000mm,-92.7500mm,T,180.0000
C5,C_0603,182.1000mm,-94.1000mm,T,180.0000
C6,C_0402,164.0750mm,-100.1000mm,T,180.0000
C7,C_0402,168.4500mm,-104.9750mm,T,180.0000
C8,C_0402,179.4250mm,-94.1000mm,T,0.0000
C9,C_0402,164.0750mm,-98.9000mm,T,180.0000
C10,C_0402,176.0500mm,-104.9750mm,T,0.0000
C11,C_0402,163.4000mm,-92.1250mm,T,180.0000
C12,C_0402,160.8000mm,-92.1250mm,T,0.0000
C13,C_0402,187.1750mm,-100.8500mm,T,180.0000
C14,C_0402,179.4250mm,-95.3000mm,T,180.0000
C15,C_0402,187.1750mm,-98.3500mm,T,0.0000
R1,R_0402,169.5500mm,-90.6750mm,T,0.0000
R2,R_0402,173.0500mm,-105.0250mm,T,0.0000
R3,R_0402,164.0750mm,-97.6500mm,T,0.0000
R4,R_0402,162.1000mm,-90.8000mm,T,0.0000
R5,R_0402,179.2250mm,-101.3500mm,T,0.0000
R6,R_0402,179.2250mm,-99.3500mm,T,0.0000
R7,R_0402,187.1750mm,-99.6000mm,T,180.0000
U1,SOT-23,185.2250mm,-93.1500mm,T,270.0000
U2,LQFP-64_10x10mm_Pitch0.5mm,171.7500mm,-97.8500mm,T,0.0000
U3,QFN-24-1EP_4x4mm_Pitch0.5mm,182.9000mm,-99.3500mm,T,90.0000
Y1,SMD-5032,162.1000mm,-94.3500mm,T,180.0000
